1;1;0;0;1748986585
2;1;0;0;1748986882
3;1;0;0;1748987445
4;1;0;0;1748987546
5;1;0;0;1748987824
6;1;0;0;1748987994
7;1;0;0;1748988100
8;1;0;0;1748988405
9;1;0;0;1748988464
10;1;0;0;1748988571
11;1;0;0;1748988612
12;1;0;0;1748988688
13;1;14;1;1748988739
14;1;15;1;1748988810
15;1;16;1;1748988863
16;1;17;1;1748989107
17;1;18;1;1748989191
18;1;19;1;1748989237
19;1;0;0;1748989425
20;1;21;1;1748990196
21;1;22;1;1748990215
22;1;23;1;1748990463
23;1;24;1;1748990490
24;0;0;0;1748991158
25;0;0;0;1748991226
26;0;0;0;1748991254
